OBJECTID,ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SPI,SUBAREA,TSA,STATUS,CASEIN,CASEOUT,SUNRISE,SUNSET,CREATEDATE,CREATEDBY,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,ACRES,ZONING,EDITTED,REFERENCE,SHAPE_Area,SHAPE_Length
10709,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{580C6D97-2A8F-487B-BB3A-67A6D0651D8B},1.2923615,C-1, ,R3371,56295.0418580561,1050.44855320242
10710,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{99D8BFDF-8386-432B-9B7F-6C25924D09D0},4.92746293,RG-2, ,R32,214639.426462327,1887.6845497947
10711,C-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH12COSEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{9F2416C6-A851-47D0-9855-FC0A5059272D},25.84641335,C-2, ,R1174,1125865.26186756,4864.29864635728
10712,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D8BA20DC-E1A4-4FFE-B8B0-7DB3B984CA21},0.83839944,C-1, ,R1249,36520.5335781657,1172.7320841646
10713,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{6E322071-34B4-4817-86DA-DD32D304EB7F},5.89334001,C-1, ,R1983,256712.864137626,3362.37345478063
10714,HC-20D,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH20DWAPALADI,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{B8F51198-1E6E-4AE1-B1D3-CEAABDC4E0C3},20.94924599,HC-20D, ,R1375,912545.504993433,3837.88642593656
10715,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{8503437E-AE71-489C-A316-BE97EA19FBE3},21.6859544,C-1, ,R999,944636.395226194,6673.82631490623
10716,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{3F33761C-5C4D-490B-B21D-42C3FBA80BC6},0.6387836,C-1, ,R640,27825.3021528434,766.627946988179
10717,I-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{C2323A12-8641-4753-9A12-C227E4CEFB13},50.31210532,I-1, ,R726,2191586.54149884,9500.01384694856
10718,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{F99AEABA-CC69-4634-9896-940EED0671E3},22.9672074,RG-2, ,R2904,1000447.55267699,4666.95377087034
10719,R-4A,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH6ASIMIREDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D6C727F5-130F-4C43-B42E-6B8A82785CD0},68.73688361,R-4A, ,R3384,2994166.67322751,8530.35436548187
10720,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{0664C018-B115-4C31-862E-3AB45CC16925},107.72076015,RG-2, ,R2958,4692297.54281128,13488.4859726585
10721,R-LC,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH9REMICODIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{ABE73F8E-3894-44F9-ACB3-067808F98883},4.15722499,R-LC, ,R62,181087.996114891,2034.88889606757
10722,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{2847DB97-843C-4D82-94A2-F513122CCC77},2.13711461,C-1-C, ,R3042,93092.3398807256,1794.69684420214
10723,I-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{CE43F541-10D4-4489-A8B9-B86B44D41984},7.51881283,I-1, ,R2445,327518.176873667,3280.95895941087
10724,RG-3,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{BC4F4896-2ED6-4B7A-AFB9-B97C25A9CB0F},3.31619756,RG-3, ,R658,144452.988049733,1612.57207135332
10725,SPI-18 SA3,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16-18RSPMENESPPUINDIRE,0,0,, ,18,3, ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{1DD8B6C5-5BF2-4631-8A5E-5D1DD6B89A53},0.24793264,SPI-18 SA3, ,R1823,10799.9025491064,454.015846763208
10726,SPI-18 SA6,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16-18RSPMENESPPUINDIRE,0,0,, ,18,6, ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D3DE92A9-E67A-4B5D-9C4B-2C849D8725C8},8.23403395,SPI-18 SA6, ,R1252,358673.084368974,2853.96952702261
10728,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{162E5799-5BB7-4EF4-9C29-FC635C790541},0.47105672,C-1-C, ,R13,20519.1486001023,611.481826088919
10729,RG-4-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{A71435DE-B980-4352-A12F-216AD1F84FF4},2.09488017,RG-4-C, ,R1419,91252.6153667254,1333.39806936897
10730,O-I,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH10OFSTDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{E81FF76F-3AF4-4574-9FF9-2AB10BA0374C},4.12467439,O-I, ,R3609,179670.097733293,1925.1977098874
10731,O-I-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH10OFSTDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{1B5AEB63-2750-4042-B0E3-8514754445FC},1.71135708,O-I-C, ,R1731,74546.4160201301,2029.12200105409
10732,I-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D6CB95AA-A631-4312-88B9-EE13B95C3D09},10.9962189,I-1, ,R1611,478993.379128251,5091.07079147681
10734,MR-3-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH35MRMUMIREDIRE,0,0,, , , , ,Current,Z-12-013, ,2013/03/18 00:00:00+00,2999/12/31 00:00:00+00,2014/05/21 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{533CCE46-92A6-4D46-B75A-46D49A0F3842},6.02440851,MR-3-C, ,R3478,262422.18480801,2172.65117693513
10735,MRC-2-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH34MRMIRECODIRE_S16-34.027SPREM,0,0,, , , , ,Current,Z-13-051, ,2014/05/05 00:00:00+00,2999/12/31 00:00:00+00,2014/06/26 00:00:00+00,STH,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{1A2E8E6C-A159-45DA-9138-94594DFD3F81},13.75961137,MRC-2-C, ,R2300,599366.27387975,3512.2691438034
10737,I-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{93207F2D-E2EF-481D-9588-9A9A93A5B54A},2.2205717,I-1, ,R2906,96727.7164870808,1328.13568042099
10738,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{28C8C0E7-4BBA-43FF-933F-10C93DDAEDD5},4.91178514,RG-2, ,R2017,213956.50470066,1875.13962820709
10739,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{8839DAC8-5014-44B7-AA0A-16008F13D6A8},0.74975453,C-1, ,R392,32659.1766316052,730.458424514771
10740,R-LC,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH9REMICODIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{B77B0056-7294-49F0-8041-7DFDBA472494},0.36094642,R-LC, ,R422,15722.7632106985,593.024714845509
10741,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{DDB53539-79F3-4725-9421-D8A1C135450C},15.92913256,RG-2, ,R2422,693870.239024171,3431.39695657488
10742,I-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH17HEINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{2B8A71B1-A338-4D9A-A00D-6197C88510AB},353.06920691,I-2, ,R693,15379633.1344108,24824.0428673848
10743,RG-2,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{007EAEC3-5537-4D6F-B998-C2166A5C25DB},3.4592366,RG-2, ,R1215,150683.743369911,1571.56862880863
