OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
47681,SF-20,15-2004,14324.064,56.125,SF-20,KENNEDY HEIGHTS,0015-2004,CPB
47682,PR,258-2007,2069.14,3.098,PR,MADISONVILLE,0258-2007, 
47683,ML,15-2004,3739.538,11.734,ML,MADISONVILLE,0015-2004,CPB
47684,PR,258-2007,3263.258,5.907,PR,MADISONVILLE,0258-2007, 
47685,SF-6,15-2004,15637.373,78.557,SF-6,MADISONVILLE,0015-2004,CPB
47686,CC-M,15-2004,4404.39,11.941,CC-M,MADISONVILLE,0015-2004,CPB
47687,SF-2,15-2004,14834.037,96.154,SF-2,MADISONVILLE,0015-2004,CPB
47688,PR,258-2007,741.753,0.528,PR,MADISONVILLE,0258-2007, 
47689,T4N.MF-O,1268-2013,4226.394,10.927,T4N.MF-O,MADISONVILLE,01268-2013,CPB
47690,T3N,1268-2013,3700.771,14.469,T3N,MADISONVILLE,01268-2013,CPB
47691,T5MS-O,158-2021,955.124,0.602,T5MS-O,MADISONVILLE,0158-2021,CP
47692,T4N.SF,1268-2013,2087.497,2.802,T4N.SF,MADISONVILLE,1268-2013,CPB
47693,T4N.SF,1268-2013,551.341,0.38,T4N.SF,MADISONVILLE,1268-2013,CPB
47694,SF-6,15-2004,10033.531,62.457,SF-6,KENNEDY HEIGHTS,0015-2004,CPB
47695,CN-M,15-2004,1098.079,1.549,CN-M,KENNEDY HEIGHTS,0015-2004,CPB
47696,SF-6,15-2004,24478.603,244.86,SF-6,KENNEDY HEIGHTS,0015-2004,CPB
47697,CC-P,15-2004,1135.262,1.265,CC-P,KENNEDY HEIGHTS,0015-2004,CPB
47698,PR,258-2007,1763.753,4.278,PR,KENNEDY HEIGHTS,0258-2007, 
47699,CC-P,324-2004,5583.487,17.81,CC-P,KENNEDY HEIGHTS,0015-2004,CPB
47700,CC-M,15-2004,1547.13,1.52,CC-M,KENNEDY HEIGHTS,0015-2004,CPB
47701,PR,258-2007,728.435,0.76,PR,KENNEDY HEIGHTS,0258-2007, 
47702,RM-1.2,15-2004,4538.539,23.181,RM-1.2,KENNEDY HEIGHTS,0015-2004,CPB
47703,SF-4,15-2004,4218.086,25.126,SF-4,KENNEDY HEIGHTS,0015-2004,CPB
47704,RMX,15-2004,5506.577,23.805,RMX,KENNEDY HEIGHTS,0015-2004,CPB
47705,PR,258-2007,1421.083,2.217,PR,KENNEDY HEIGHTS,0258-2007, 
47706,CG-A,15-2004,3594.73,13.144,CG-A,OAKLEY,0015-2004,CPB
47707,SF-10,15-2004,5356.719,31.124,SF-10,MADISONVILLE,0015-2004,CPB
47708,PR,258-2007,2574.283,7.789,PR,MADISONVILLE,0258-2007, 
47709,SF-4,15-2004,12775.182,68.815,SF-4,MADISONVILLE,0015-2004,CPB
47710,OL,347-2007,2513.151,6.449,OL,MADISONVILLE,0015-2004,CPB
47711,MG,15-2004,5352.485,37.207,MG,MADISONVILLE,0015-2004,CPB
47712,SF-6,15-2004,3812.263,20.334,SF-6,MADISONVILLE,0015-2004,CPB
47713,SF-6,15-2004,10605.389,41.988,SF-6,MADISONVILLE,0015-2004,CPB
47714,RM-2.0,15-2004,6087.046,40.966,RM-2.0,MADISONVILLE,0015-2004,CPB
47715,CC-A,15-2004,3740.474,13.918,CC-A,MADISONVILLE,0015-2004,CPB
47716,ML,15-2004,16365.904,126.657,ML,MADISONVILLE,0015-2004,CPB
47717,T3N,1268-2013,4266.648,14.671,T3N,MADISONVILLE,01268-2013,CPB
47718,T5MS-O,1268-2013,1436.161,2.701,T5MS-O,MADISONVILLE,01268-2013,CPB
47719,T5MS-O,1268-2013,944.35,1.089,T5MS-O,MADISONVILLE,01268-2013,CPB
47720,T4N.MF-O,1268-2013,1340.162,1.959,T4N.MF-O,MADISONVILLE,01268-2013,CPB
47721,T4N.SF-O,498-2019,1549.707,3.054,T4N.SF-O,MADISONVILLE,0498-2019,CP
47722,RMX,15-2004,3636.049,17.571,RMX,MADISONVILLE,0015-2004,CPB
47723,SF-4,15-2004,3229.053,9.416,SF-4,MADISONVILLE,0015-2004,CPB
47724,CG-A,15-2004,4376.97,13.708,CG-A,MADISONVILLE,0015-2004,CPB
47725,SF-4,15-2004,15016.246,66.297,SF-4,MADISONVILLE,0015-2004,CPB
47726,PR,258-2007,569.005,0.304,PR,MADISONVILLE,0258-2007, 
47727,T4N.SF-O,1268-2013,2542.797,5.08,T4N.SF-O,MADISONVILLE,01268-2013,CPB
47728,T5MS,1268-2013,2512.395,7.551,T5MS,MADISONVILLE,01268-2013,CPB
47729,T5N.SS-O,1268-2013,2210.205,5.022,T5N.SS-O,MADISONVILLE,01268-2013,CPB
47730,T3N,1268-2013,6797.602,34.528,T3N,MADISONVILLE,01268-2013,CPB
47731,T5MS-O,1268-2013,2201.86,4.186,T5MS-O,MADISONVILLE,01268-2013,CPB
47732,T4N.SF-O,1268-2013,1103.338,1.531,T4N.SF-O,MADISONVILLE,01268-2013,CPB
47733,T4N.SF,1268-2013,2295.111,3.404,T4N.SF,MADISONVILLE,01268-2013,CPB
47734,T4N.SF,1268-2013,1329.683,2.13,T4N.SF,MADISONVILLE,01268-2013,CPB
47735,RM-1.2,15-2004,3643.525,11.147,RM-1.2,MADISONVILLE,0015-2004,CPB
47736,PD,205-2017,1239.448,1.577,PD-73,MADISONVILLE,0205-2017,CP
47737,CG-A, ,1206.185,1.569,CG-A,OAKLEY, ,CP
47738,RM-2.0,15-2004,9607.918,75.293,RM-2.0,MADISONVILLE,0015-2004,CPB
47739,CG-A,15-2004,6815.976,25.778,CG-A,OAKLEY,0015-2004,CPB
47740,SF-4,15-2004,24376.312,153.073,SF-4,MADISONVILLE,0015-2004,CPB
47741,CN-P,15-2004,3295.632,4.613,CN-P,MADISONVILLE,0015-2004,CPB
47742,SF-6,15-2004,7114.949,46.401,SF-6,MADISONVILLE,0015-2004,CPB
47743,T3N,1268-2013,5726.736,19.376,T3N,MADISONVILLE,01268-2013,CPB
47744,T5MS-O,1268-2013,1581.992,3.338,T5MS-O,MADISONVILLE,01268-2013,CPB
