OBJECTID,ZONE_DIST,PD_NUM,CD_NUM,CASE_NUMBER,COUNCIL_DATE,COMMON_NAME,LONG_ZONE_DIST,GLOBALID,ORD_NUM,NOTES,RES_NUM,EFFECTIVEDATE,DISTRICTUSE,Shape__Area,Shape__Length
1,R-5(A),,,Z134-163,2014/05/14 05:00:00+00,,R-5(A),ef3ac3d7-a13a-4797-b81e-47e00a4e6730,29333,A(A) to R-5(A) ,140773,2014/04/23 05:00:00+00,,1396934.22851562,6773.92324158491
2,PD,50,,,,,PD-50,1004ce39-ac28-4d46-b4fc-69e437e01181,,,,2012/08/24 05:00:00+00,,1683856.59277344,5878.07345754423
3,MU-1, ,,,,,MU-1,9e72765b-23b9-42df-b5ae-4913616536c0,,,,2012/08/24 05:00:00+00,,167963.3125,1706.66869439289
4,CS, ,,Transition,1989/07/18 05:00:00+00,,CS,6ae8a08d-bd54-4e20-8719-b47e89ff5510,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,507867.44921875,3787.99804745327
5,LI, ,,,,,LI,11971703-eb91-4ac2-bd68-fa648bffc403,,,,2012/08/24 05:00:00+00,,1290186.25,7412.32397975301
6,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,e3932359-61f0-466f-97da-5ecd9f8f64d4,19455,Zoning Transition to Chapter 51A_CR district split per ORD 29212,870470,2013/12/11 06:00:00+00,,118359.4765625,1598.35139153842
7,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,f46887bb-cc4a-41b2-8b3c-c919b2465bea,19455,Zoning Transition to Chapter 51A_CR reduced/split under ORD 31509,840470,2020/04/08 05:00:00+00,,530777.8203125,3345.86278192591
8,CS, ,,Z167-171,2017/08/09 05:00:00+00,,CS,5415df49-dba5-4295-888e-b94f01b1d2c8,30590,RR to CS with Deed Restrictions,171226,2017/08/09 05:00:00+00,,446336.447265625,2895.22489366636
9,CR, ,,Transition,1989/07/18 05:00:00+00,,CR,abc6318f-56c5-4a32-9865-d5abfd00929c,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,521901.048828125,3872.98370206091
10,PD,517,,Z201-243,2021/12/08 06:00:00+00,Lakewood Country Club,PD-517,b36f2b8a-593a-4193-a4bc-3588ad905f88,32086,"ORDS_23638, 25423-COD, 26198, 32086_Amend Article 517",212043,2021/12/08 06:00:00+00,0,5515699.96191406,12501.8915599197
11,MF-1(A),,,,,,MF-1(A),9fac0e3d-c497-4429-af00-8d53ffc96e39,,,,2012/08/24 05:00:00+00,,706694.3828125,4081.17730161376
12,TH-3(A), ,,,,,TH-3(A),ad3f6188-a9c2-4b92-bdde-3161cc9d3d39,,,,2012/08/24 05:00:00+00,,2356795.80664062,9283.84171393394
13,LI, ,,Transition,1989/07/18 05:00:00+00,,LI,34edda5f-cdc8-44c3-a9af-09c760094468,19455,Zoning Transition to Chapter 51A,870470,2012/08/24 05:00:00+00,,500571.359375,2891.80144964407
14,PD,540,,,,,PD-540,70b99a50-8d2a-4c03-8aff-a9c5e87ea1ff,,,,2012/08/24 05:00:00+00,,2503163.12011719,8121.02285391844
