OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
14683,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,,,,257,2008,,,NA.pdf,01428113-0c52-4c8b-96fe-b183f6d5de5c,,Yes,99141.83984,1307.712008
14684,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,183,,660,1985,,P1289,PUD 183.pdf,0143e528-87cf-48ac-9361-073969128bcc,,No,278535.6182,2172.213595
14685,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,6,,199,1978,,,PUD 6.pdf,019de7da-0121-4530-8826-6186ec9de86d,,No,14134.15723,494.2263591
14686,1956,Former Chapter 59 Zone,,,999,B-1,Commercial Mixed Use,,,,,,248,1972,PBG,,NA.pdf,01b4b23e-983e-48ca-bf58-ae9c666417b0,,No,112437.6016,1437.148577
14687,2010,Two Unit  (TU),URBAN,U-TU,TU,U-TU-B,Residential,,,,,,333,2010,,,NA.pdf,01c0ef81-62e4-4c0d-981e-06b852674288,,Yes,70622.37207,1339.39072
14688,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,82,1964,PBG,,NA.pdf,02140073-537b-4cd7-af62-a34134624dce,,No,441494.1942,3458.495023
14689,2010,Industrial - Light  (I-A),SPECIAL INDUSTRIAL,I,999,I-A,Industrial,UO-2,,,,,333,2010,,,NA.pdf,0220349a-31c3-4a93-986f-cc386747c336,,No,1288672.957,5761.770382
14690,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,027c3123-2638-4bc4-9ffb-b665ccf585e9,,No,298286.3232,2717.348219
14691,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,567,,615,2004,,,PUD 567.pdf,02864513-4133-475c-94b7-7df049599868,,No,8152.842285,431.4953639
14692,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-B,Residential,,,,,,333,2010,, ,NA.pdf,030c0698-a298-4629-880c-527a3e31d644,,No,169711.4941,1882.212237
14693,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,030f3934-1b1c-4b83-ad37-58d87ad33128,,No,483351.1865,3106.620416
14694,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,,,,,379,1970,PBG,,NA.pdf,0343eac2-c59d-4f16-9729-a9eb5e9059eb,,No,725350.252,3531.587855
14695,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,2025,,,NA.pdf,0354fc7d-62a7-45f3-a599-40b32bf5e7ce,3,Yes,1108765.705,4965.070546
14696,1956,Former Chapter 59 Zone,,,999,T-MU-30,Commercial Mixed Use,UO-1,WVRS,*,,,935,2004,,,NA.pdf,0357cab0-6356-4eab-b6c4-dc3e83aaf6aa,,No,1001276.484,4581.197548
14697,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,209,1962,PBG,,NA.pdf,03996264-b966-4600-859e-ff707d71d3e7,,No,36598.3877,776.689159
14698,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,800,1999,PBG,,NA.pdf,03b13675-07bc-49b7-a514-d86c1e28c5ac,,No,807313.6455,4340.543202
14699,2010,Airport  (DIA),SPECIAL AIRPORT,DIA,999,DIA,Commercial Mixed Use,"AIO, DO-6",,,,,815,2014,,,NA.pdf,03c1b6e7-bff7-4d12-ae6d-b6be6139eae3,,No,668931.4243,3660.432003
14700,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,274,,755,1989,,,PUD 274.pdf,03f8e5ca-a2fa-4b88-ace2-2a8143a1c5a0,,No,231306.9155,2228.184017
14701,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,610,,105,2008,,,PUD 610.pdf,0466733e-2813-4e72-aeac-fe0e1bbaebbf,,No,12203.98584,480.4905238
14702,1956,Former Chapter 59 Zone,,,999,R-2,Residential,,WVRS,*,,,780,1986,,,NA.pdf,047a0276-cc79-4ca9-9644-2d259f587602,,No,827697.0635,4621.095629
14703,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,456,1969,PBG,,NA.pdf,04c16c68-3e8d-43fd-8f11-119bbc681be7,,No,2218652.552,11642.46863
14704,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,0542bb5b-bed6-458d-98ef-3a89a916218c,,No,755886.5244,5774.956316
14705,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,0569152b-dd5e-4312-9409-c5daebf3540a,,No,51768.72461,975.2693699
14706,1956,Former Chapter 59 Zone,,,999,R-2-A,Residential,,,,,,2,1971,PBG,,NA.pdf,05fee6ee-b58c-4c5d-8e47-1469c9de6728,,No,388424.0015,2516.424874
14707,1956,Former Chapter 59 Zone,,,999,R-5,Residential,,,,,,367,1974,PBG,,NA.pdf,067553e9-6c13-4d3e-82df-4bdc34fbd168,,No,1670655.669,5118.084355
14708,1956,Former Chapter 59 Zone,,,999,B-3,Commercial Mixed Use,,,,,,474,1964,PBG,,NA.pdf,06c83edc-de53-47d8-9e7b-0b99d81b3623,,No,1195399.211,4368.698931
14709,2010,"Campus  (EI, EI2, ENT, H, H2, NWC)",SPECIAL CAMPUS,CMP,999,CMP-EI,Commercial Mixed Use,,,,,,333,2010,,,NA.pdf,06d630c4-5c7e-4bc7-9e89-7973b38d1039,,Yes,415626.6514,3140.908571
14710,1956,Former Chapter 59 Zone,,,999,P-1,Commercial Mixed Use,,,,,,378,1970,PBG,,NA.pdf,06e0ca24-7a34-4e0f-8725-7decb1926d52,,No,73086.03223,1317.993985
14711,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-F,Residential,,,,,,333,2010,,,NA.pdf,072967b9-3d25-4683-bfd6-0500fe647236,,No,9817385.255,19839.6603
14712,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,,,,569,2003,,,NA.pdf,077fe025-5e40-4d26-b14c-a057234274fc,,Yes,1079906.636,6151.201677
14713,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,392,1956,PBG,,NA.pdf,07a441c9-ac12-4010-bb2c-1349c9093689,,No,633599.7339,3224.58052
14714,1956,Former Chapter 59 Zone,,,999,B-1,Commercial Mixed Use,,,,,,396,1965,PBG,,NA.pdf,07bff170-ecc4-454b-ae5d-5dc3ae12ff73,,No,94099.50049,1255.246292
14715,1956,Former Chapter 59 Zone,,,999,R-4,Residential,OD-1,,,,,242,2004,PBG,,NA.pdf,081d6a71-1dfa-48ae-b9ce-ff55ebaf91dc,,No,33346.91748,729.5684878
14716,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,*,,,90,2006,,,NA.pdf,082ebeed-eb0d-4530-aabf-901f9fd76baa,,Yes,382328.3032,2525.338452
14717,1956,Former Chapter 59 Zone,,,999,H-1-B,Commercial Mixed Use,,,,,,197,1992,PBG,,NA.pdf,091febb3-509b-447f-80a3-9f1eeb3da819,,No,1221509.779,4661.668264
14718,1956,Former Chapter 59 Zone,,,999,C-MU-30,Commercial Mixed Use,UO-1,,,,,132,2007,PBG,,NA.pdf,09319d00-425d-4661-ace0-5d1a48e6e7a8,,Yes,659154.979,3520.887131
14719,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,095d8c75-c8a5-4b0f-bd1f-bfb832ded6db,,No,21465821.64,39278.6371
14720,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,302,,854,1991,,,PUD 302.pdf,09794747-4ce9-483d-9feb-bd30976412c3,,No,23153.04297,609.5894167
14721,2010,Single Unit  (SU),SUBURBAN,S-SU,SU,S-SU-D,Residential,,,,,,333,2010,,,NA.pdf,098258a1-ad35-4232-a8c0-1a377da86d80,,No,127649.2734,1516.019344
14722,2010,Single Unit  (SU),URBAN,U-SU,SU,U-SU-B,Residential,UO-3,,,,,333,2010,,,NA.pdf,09f23c90-6b1e-4a9d-8770-9e354d9e5ae0,,No,328229.3218,2630.218155
14723,1956,Former Chapter 59 Zone,,,999,R-3,Residential,UO-3,,,,,48,1965,PBG,,NA.pdf,0aca5ab9-4c39-4063-872a-9553012148f7,,No,203804.3384,2501.546578
14724,2010,Single Unit  (SU),URBAN EDGE,E-SU,SU,E-SU-DX,Residential,,,,,,333,2010,,,NA.pdf,0b1edebf-29e9-4544-b0f5-1b62a86b0f52,,No,329428.936,2664.003298
14725,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,1644,2025,,,NA.pdf,0b69918a-5763-4526-b8fc-9f3084eb814b,3,Yes,427189.3369,3007.727699
14726,1956,Former Chapter 59 Zone,,,999,B-3,Commercial Mixed Use,,,,,,618,1975,PBG,,NA.pdf,0b6b26b5-b389-4ad5-a883-e15a7f257400,,No,104890.1309,1425.654322
14728,2010,"Planned Unit Development  (PUD-D, PUD-G)",SPECIAL PUD,PUD,999,PUD-G,PUD,,,,#8,U-MS-3,477,2013,,Standard Zone Dist: U-MS-3,PUD_G_8.pdf,0bc00e98-3f68-43f1-8d35-9caf179fee48,,No,266875.4888,2307.75761
14729,2010,Open Space - Public Parks  (OS-A),SPECIAL OPEN SPACE,OS,999,OS-A,Open Space,,,,,,333,2010,,,NA.pdf,0c005860-b8cb-4807-82ba-8e6dc07411d2,,No,314769.2739,6222.251199
14730,1956,Former Chapter 59 Zone,,,999,B-2,Commercial Mixed Use,,WVRS,*,,,327,1996,,,NA.pdf,0c1f213f-d9c4-4238-934d-f07bf3fd36b0,,No,47225.15186,936.427492
14731,2010,Special  (O-1),SPECIAL O-1,O,999,O-1,O-1,,,,,,333,2010,,,NA.pdf,0c31da48-490f-436c-b98c-298b91e87ef1,,No,139913.292,1491.592949
14732,1956,Former Chapter 59 Zone,,,999,B-4,Commercial Mixed Use,"UO-1, UO-2",,,,,111,1964,PBG,,NA.pdf,0c552864-9fd1-4960-aae4-01a370f61fc0,,No,188667.4038,2128.296585
14733,1956,Former Chapter 59 Zone,SPECIAL PUD,PUD,999,PUD,PUD,,,,621,,346,2008,,,PUD 621.pdf,0c72d9b0-b4d9-4584-a74b-46a51628f502,,No,79826.13184,1319.171716
14734,1956,Former Chapter 59 Zone,,,999,H-2,Commercial Mixed Use,,WVRS,*,,,490,2001,,,NA.pdf,0d92012c-b701-48f0-9e4f-4f104b085b32,,No,48312.47607,884.075307
14735,2010,"Mixed Use  (MX, M-GMX)",SUBURBAN,S-MX,MX,S-MX-3A,Commercial Mixed Use,,,,,,1644,2025,,,,0da92de5-85bd-4f18-9d25-2ccd3deeb5ac,3,Yes,132612.9556,1616.378725
