OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1408324,4.51385937,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71271, 
1408325,1.93336036,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71272, 
1408326,74.34161848,Z, , , , , , , ,R1-6, , ,R1-6 HP, ,HP,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71273, 
1408327,1.09990269,Z, , , ,SP,9, ,91,C-2,Z-SP-9-91, ,C-2 SP*, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71274, 
1408328,2.08156828,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71275, 
1408329,0.2488898,Z, , , , , , , ,RE-43, , ,RE-43, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71276, 
1408330,4.4411611,Z,24, ,94, , , , ,R1-10,Z-24-94, ,R1-10*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71277, 
1408331,3.92549836,Z,27, ,17, , , , ,PUD,Z-27-17,12/13/2017,PUD*,G-6373, ,PUD,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71278, 
1408332,6.16628059,Z,211, ,82, , , , ,R1-18,Z-211-82, ,R1-18*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71279, 
1408333,316.59982072,Z, , , , , , , ,RE-35, , ,RE-35, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71280, 
1408334,1.19492851,Z,276, ,83, , , , ,R-3A,Z-276-83, ,R-3A*, , ,MF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71281, 
1408335,4.07972249,Z, , , , , , , ,R-5, , ,R-5, , ,MF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71283, 
1408336,0.50948384,Z,30, ,91, , , , ,C-1,Z-30-91, ,C-1*, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71284, 
1408337,16.63715222,Z,64, ,92, , , , ,R1-18,Z-64-92, ,R1-18*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71285, 
1408338,0.36359882,Z,336, ,82, , , , ,C-2,Z-336-82, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71286, 
1408339,2.81306891,Z, , , , , , , ,C-1, , ,C-1, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71287, 
1408340,7.58069579,Z,109, ,07, , , , ,C-2,"64-85; 109-07",01-09-2008,C-2 M-R DNS/WVR*,G-5070, ,Commercial,2023/04/17 20:31:07+00,2024/10/09 21:26:02+00,71288, 
1408341,12.94956833,Z, , , , , , , ,PSC, , ,PSC, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:55+00,71289, 
1408342,15.65242123,Z,94, ,85, , , , ,R-2,Z-94-85, ,R-2*, , ,MF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71290, 
1408343,20.05169028,Z,38, ,99, , , , ,R1-8,Z-38-99, ,R1-8*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71291, 
1408344,100.32877214,Z,50, ,98, , , , ,R1-10,Z-50-98, ,R1-10 PRD*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71292, 
1408345,0.62811434,Z, , , , , , , ,C-O, , ,C-O, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71293, 
1408346,3.78362995,Z,65, ,86, , , , ,R-3,Z-65-86, ,R-3*, , ,MF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71294, 
1408347,1720.03118455,Z,43, ,02, , , , ,S-1,Z-43-02,10-30-2002,S-1*, , ,SF Residential,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71295, 
1408348,2.72831694,Z,20, ,92, , , , ,P-1,Z-20-92, ,P-1*, , ,Commercial,2023/04/17 20:31:07+00,2024/09/09 23:07:54+00,71296, 
