GLOBALID,OBJECTID,ZONE_TYPE,ZONE_TYPE_DECODE,HEIGHT,FRONTAGE,FRONTAGE_DECODE,CONDITIONAL,ZONING,ZN_CASE_NUM,ZN_CASE_SUFFIX,ZN_CASE_YEAR,ZONE_CASE,EFF_DATE,ORDINANCE,PLAN,PLAN_NAME,INTO_UDO,COND_LINK,SHAPEAREA,SHAPELEN
{0038E264-CF26-4BEE-ABAE-06525E95B3A3},528740,RX-,Residential Mixed Use,3,-GP,Green Plus,,RX-3-GP,92,C,2022,Z-92C-2022,2024/06/06 16:00:00+00,625ZC881,,,New Bern SAP,,105716.765901002,1403.35535998861
{00D3DC6F-2751-4D13-80BD-AA163C288D1C},528741,CM,Conservation Management,,,,,CM,36,,1991,Z-36-1991,1991/11/19 05:00:00+00,880ZC301,,,"20130901; TC-3-12; 151TC357",,29366.2745357693,1596.73769375707
{010ADCB5-C68B-4AFB-BCB8-0C7B6AEFE4A7},528742,DX-,Downtown Mixed Use,20,,,-CU,DX-20-CU,5,,2022,Z-5-2022,2022/09/20 16:00:00+00,419ZC844,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-005-22-ORD.pdf,228725.969152824,3081.32670614992
{0155DF9A-A272-4139-8701-294E4F5C2A41},528743,NX-,Neighborhood Mixed Use,3,,,-CU,NX-3-CU,61,,2001,Z-61-2001,2001/11/20 05:00:00+00,122ZC508,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-061-01-ORD.pdf,365826.478680238,2784.86213911764
{0164CA21-8C80-4065-BF83-006C29EDDE18},528744,NX-,Neighborhood Mixed Use,3,-PL,Parking Limited,-CU,NX-3-PL-CU,3,,1991,Z-3-1991,1991/06/18 04:00:00+00,793ZC293,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-003-91-ORD.pdf,184852.56283905,2010.05663907886
{01BB2E6E-2BC3-4986-9435-85DA9A672CE0},528745,R-10,Residential-10,,,,-CU,R-10-CU,24,,2006,Z-24-2006,2006/04/04 04:00:00+00,993ZC585,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-024-06-ORD.pdf,387605.125816388,3029.04368693874
{01EAD8B7-ECDC-4900-8246-D86EC7172F13},528746,OX-,Office Mixed Use,3,,,,OX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,333061.547404344,2549.27666727277
{029F93D4-ECE8-4A20-8F0C-2E7A31DAD526},528747,RX-,Residential Mixed Use,3,,,-CU,RX-3-CU,35,,2012,Z-35-2012,2013/02/05 05:00:00+00,149ZC682,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-035-12-ORD.pdf,24103.1694673529,622.392401712411
{02C83DE0-15E6-49F3-80AD-D6D00E25709C},528748,CX-,Commercial Mixed Use,3,,,,CX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,533888.6814032,2932.36307873656
{02DF8136-94BE-4A2A-956C-1D46CFF6739E},528749,R-6,Residential-6,,,,-CU,R-6-CU,11,,2000,Z-11-2000,2000/02/29 05:00:00+00,738ZC473,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-011-00-ORD.pdf,1144862.99544545,5289.21956844886
{02F06B67-8ABB-424F-9395-B5C379586BA4},528750,RX-,Residential Mixed Use,3,-PK,Parkway,,RX-3-PK,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,829376.278494333,4496.71904667773
{03308160-CBA7-4672-9C06-649559B33C39},528751,R-4,Residential-4,,,,,R-4,35,,2001,Z-35-2001,2001/06/05 04:00:00+00,013ZC499,,,"20130901; TC-3-12; 151TC357",,493903.488099608,3159.45243906085
{03A2D4AE-736C-456D-AD37-802299513377},528752,IX-,Industrial Mixed Use,3,,,-CU,IX-3-CU,19,,1990,Z-19-1990,1991/10/01 04:00:00+00,854ZC297,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-019-90-ORD.pdf,125298.325195269,1937.01873811154
{03C50E20-6F9F-440D-91BA-70E2E9604CD6},528753,RX-,Residential Mixed Use,3,,,,RX-3,92,E,2022,Z-92E-2022,2024/08/02 04:00:00+00,654ZC887,,,New Bern SAP,,37480.5747880356,907.397160339785
{03F13BDA-374E-4384-BF08-A5B6EEE9A8E5},528754,R-10,Residential-10,,,,,R-10,62,,1981,Z-62-1981,,,,,"20130901; TC-3-12; 151TC357",,898558.70040161,4050.62614027356
{045D7BA2-7148-424F-8228-54A76EF2CD6D},528755,IH,Heavy Industrial,,,,-CU,IH-CU,59,,1989,Z-59-1989,1990/01/16 05:00:00+00,482ZC267,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-059-89-ORD.pdf,492741.94959186,2832.82588820301
{04CA56A3-95B3-43BD-AEB4-369E92F6DDA0},528756,R-6,Residential-6,,,,,R-6,84,,1986,Z-84-1986,1986/12/16 05:00:00+00,898ZC204,,,"20130901; TC-3-12; 151TC357",,15133603.1276953,21564.0541327272
{04D25995-ABAF-4C4F-B9D3-6DA3D4D6A542},528757,NX-,Neighborhood Mixed Use,3,,,-CU,NX-3-CU,7,,2004,Z-7-2004,2004/02/17 05:00:00+00,570ZC546,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-007-04-ORD.pdf,96100.778641581,1332.83926566521
{04E95D6E-62C3-4F3D-97B3-B1B0A42A8080},528758,OX-,Office Mixed Use,3,-GR,Green,-CU,OX-3-GR-CU,37,,1996,Z-37-1996,1996/04/02 04:00:00+00,849ZC386,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-037-96-ORD.pdf,23529.2767043837,665.023577120767
{0505AC51-48C3-42CB-988D-ABBDF97CFB1A},528759,NX-,Neighborhood Mixed Use,3,,,-CU,NX-3-CU,40,,2004,Z-40-2004,2004/09/07 04:00:00+00,697ZC555,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-040-04-ORD.pdf,35863.7065646674,759.670732186188
{054A820F-F65B-457D-B94E-244890CC5AD9},528760,DX-,Downtown Mixed Use,20,-UL,Urban Limited,-CU,DX-20-UL-CU,21,,2020,Z-21-2020,2021/01/19 05:00:00+00,181ZC811,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-021-20-ORD.pdf,48518.486893768,896.001010021937
{05FDABE0-1AA7-4969-B7D4-F8BB3424981F},528761,OX-,Office Mixed Use,3,,,-CU,OX-3-CU,2,,2020,Z-2-2020,2020/04/07 04:00:00+00,079ZC796,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-002-20-ORD.pdf,115827.256711447,1475.13998850048
{060E89A7-4199-4702-8D0B-81A124FDD8C3},528762,NX-,Neighborhood Mixed Use,4,,,-CU,NX-4-CU,19,,2020,Z-19-2020,2020/11/04 05:00:00+00,154ZC805,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-019-20-ORD.pdf,188044.209371411,1937.23659527752
